valute,date,buy,sell
EUR,07-04-2025,44.70000,45.85000
EUR,04-04-2025,44.70000,46.03000
EUR,03-04-2025,44.70000,46.26000
EUR,02-04-2025,44.25000,45.25000
EUR,01-04-2025,44.25000,45.25000
EUR,31-03-2025,44.40000,45.45000
EUR,28-03-2025,44.40000,45.38000
EUR,27-03-2025,44.45000,45.38000
EUR,26-03-2025,44.50000,45.50000
EUR,25-03-2025,44.60000,45.65000
EUR,24-03-2025,44.65000,45.65000
